file,ref_id,tauV_percent_ISO8980,nominal_tauV_percent,tol_percent,delta_percent,within_tol
NDUVW10B_02_20251217_165428_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.033,10.0,5.0,0.033,True
NDUVW10B_02_20251217_180916_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.254,10.0,5.0,0.254,True
NDUVW10B_02_20251218_111553_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.256,10.0,5.0,0.256,True
NDUVW10B_02_20260113_124925_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.358,10.0,5.0,0.358,True
NDUVW10B_02_20260113_142952_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.282,10.0,5.0,0.282,True
NDUVW10B_02_20260113_154203_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.471,10.0,5.0,0.471,True
NDUVW10B_03_20251217_120801_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.14,10.0,5.0,0.14,True
NDUVW10B_03_20251217_133848_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.128,10.0,5.0,0.128,True
NDUVW10B_03_20251217_155646_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.161,10.0,5.0,0.161,True
NDUVW10B_03_20251217_165523_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.062,10.0,5.0,0.062,True
NDUVW10B_03_20251217_180940_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.157,10.0,5.0,0.157,True
NDUVW10B_03_20251218_111614_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.337,10.0,5.0,0.337,True
NDUVW10B_03_20260113_124948_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.377,10.0,5.0,0.377,True
NDUVW10B_03_20260113_143024_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.179,10.0,5.0,0.179,True
NDUVW10B_03_20260113_154226_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.296,10.0,5.0,0.296,True
NDUVW10B_04_20251217_120851_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.724,10.0,5.0,-0.276,True
NDUVW10B_04_20251217_133912_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.17,10.0,5.0,0.17,True
NDUVW10B_04_20251217_155712_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.663,10.0,5.0,-0.337,True
NDUVW10B_04_20251217_165618_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.665,10.0,5.0,-0.335,True
NDUVW10B_04_20251217_181010_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.229,10.0,5.0,0.229,True
NDUVW10B_04_20251218_111636_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.177,10.0,5.0,0.177,True
NDUVW10B_04_20260113_125043_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.3,10.0,5.0,0.3,True
NDUVW10B_04_20260113_143048_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.939,10.0,5.0,-0.061,True
NDUVW10B_04_20260113_154341_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.436,10.0,5.0,0.436,True
NDUVW10B_05_20251217_120914_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.065,10.0,5.0,0.065,True
NDUVW10B_05_20251217_133944_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.326,10.0,5.0,0.326,True
NDUVW10B_05_20251217_155816_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.986,10.0,5.0,-0.014,True
NDUVW10B_05_20251217_165720_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.123,10.0,5.0,0.123,True
NDUVW10B_05_20251217_181034_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.324,10.0,5.0,0.324,True
NDUVW10B_05_20251218_111810_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.547,10.0,5.0,0.547,True
NDUVW10B_05_20260113_125111_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.374,10.0,5.0,0.374,True
NDUVW10B_05_20260113_143132_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.166,10.0,5.0,0.166,True
NDUVW10B_05_20260113_154403_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.221,10.0,5.0,0.221,True
NDUVW_01B_01_20251218_114641_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.013,79.0,5.0,7.013,False
NDUVW_01B_02_20251218_114727_TOPCON_SOLOS_420001417.xml,NDUVW01B,86.151,79.0,5.0,7.151,False
NDUVW_01B_03_20251218_114756_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.887,79.0,5.0,6.887,False
NDUVW_01B_04_20251218_114822_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.963,79.0,5.0,6.963,False
NDUVW_01B_05_20251218_114913_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.932,79.0,5.0,6.932,False
NDUVW_01B_06_20251218_114948_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.997,79.0,5.0,6.997,False
NDUVW_01B_07_20251218_115018_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.901,79.0,5.0,6.901,False
NDUVW_01B_08_20251218_115045_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.923,79.0,5.0,6.923,False
NDUVW_01B_09_20251218_115120_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.639,79.0,5.0,6.639,False
NDUVW_01B_10_20251218_115159_TOPCON_SOLOS_420001417.xml,NDUVW01B,85.696,79.0,5.0,6.696,False
NDUVW_10B_01_20251218_115855_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.263,10.0,5.0,0.263,True
NDUVW_10B_02_20251218_115941_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.663,10.0,5.0,-0.337,True
NDUVW_10B_03_20251218_120009_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.205,10.0,5.0,0.205,True
NDUVW_10B_04_20251218_120040_TOPCON_SOLOS_420001417.xml,NDUVW10B,9.883,10.0,5.0,-0.117,True
NDUVW_10B_05_20251218_120115_TOPCON_SOLOS_420001417.xml,NDUVW10B,10.172,10.0,5.0,0.172,True
